blend	source1	source2	pre_sim	suf_sim	jw_sum	wordvec_similarity
abi	abc	fbi	0.9	0.91	1.81	0.6597410440444946
abierto	abidal	alberto	0.87	0.9	1.77	0.8052586317062378
abisan	abc	san	0.9	1.0	1.9	0.6883326768875122
abita	aba	ita	0.9	1.0	1.9	0.632474422454834
abj	abb	obj	0.9	0.91	1.81	0.7293258309364319
ablum	abe	alum	0.9	0.94	1.8399999999999999	0.6852546334266663
abonmination	abode	libation	0.89	0.92	1.81	0.7454571723937988
abots	abn	wots	0.9	0.94	1.8399999999999999	0.6420488357543945
abouta	abe	uta	0.9	1.0	1.9	0.6325513124465942
abput	abs	put	0.9	1.0	1.9	0.6722432971000671
absoultely	abseil	quitely	0.87	0.9	1.77	0.6425189971923828
abuela	aba	akela	0.9	0.9	1.8	0.6409244537353516
abwen	abt	wen	0.9	1.0	1.9	0.8719949126243591
aca	acy	dca	0.9	0.91	1.81	0.6667252779006958
acabe	ach	habe	0.9	0.94	1.8399999999999999	0.6440276503562927
accidenty	accept	plenty	0.87	0.92	1.79	0.6926413178443909
accoutable	accept	able	0.87	1.0	1.87	0.8609106540679932
accpect	accept	respect	0.87	0.9	1.77	0.7585071325302124
acepta	acy	septa	0.9	0.9	1.8	0.6674069166183472
aceptame	aces	tame	0.93	1.0	1.9300000000000002	0.6440200805664062
ackeem	ach	neem	0.9	0.94	1.8399999999999999	0.8390142321586609
ackward	ackee	leeward	0.89	0.9	1.79	0.6771693229675293
acomplish	acoma	alish	0.89	0.95	1.8399999999999999	0.6564890742301941
acontecem	acoma	decem	0.89	0.95	1.8399999999999999	0.6551666855812073
acortan	acorn	tartan	0.89	0.92	1.81	0.8414844274520874
acostumbra	acop	zambra	0.93	0.92	1.85	0.637954831123352
acquaintences	acquires	licences	0.88	0.92	1.8	0.6832584142684937
activa	acy	kiva	0.9	0.94	1.8399999999999999	0.6649792194366455
actting	acting	ting	0.87	1.0	1.87	0.6643990874290466
actuaria	acton	samaria	0.89	0.9	1.79	0.6802340745925903
acutally	acumen	bally	0.87	0.95	1.8199999999999998	0.6540194749832153
addicited	adds	cited	0.93	0.95	1.88	0.6624283790588379
adedoying	adept	relying	0.89	0.9	1.79	0.6314009428024292
adi	adp	udi	0.9	0.91	1.81	0.6728321313858032
adibas	ade	bas	0.9	1.0	1.9	0.6457182765007019
adorablee	adon	blee	0.93	1.0	1.9300000000000002	0.7377414703369141
adorejanae	adobes	kanae	0.87	0.95	1.8199999999999998	0.6387455463409424
adoro	adz	nyoro	0.9	0.9	1.8	0.6633987426757812
adroable	adroit	bable	0.87	0.95	1.8199999999999998	0.6366598606109619
adthe	add	the	0.9	1.0	1.9	0.6972853541374207
advil	adj	anvil	0.9	0.9	1.8	0.684074342250824
advocators	advt	tors	0.93	1.0	1.9300000000000002	0.677003026008606
affraid	affect	afraid	0.87	0.92	1.79	0.7578098773956299
afrijammers	afros	hammers	0.89	0.94	1.83	0.671434760093689
aftanoon	aft	noon	1.0	1.0	2.0	0.6935598850250244
afterdark	after	dark	0.89	1.0	1.8900000000000001	0.7184529304504395
afterparty	after	party	0.89	0.95	1.8399999999999999	0.7996144890785217
agaisnt	again	isnt	0.89	1.0	1.8900000000000001	0.8253178000450134
agame	age	came	0.9	0.94	1.8399999999999999	0.7583468556404114
ageness	agee	maness	0.93	0.92	1.85	0.7353408336639404
aggrivated	aggro	debated	0.89	0.9	1.79	0.6420880556106567
agh	age	ugh	0.9	0.91	1.81	0.6732732057571411
agian	age	ian	0.9	1.0	1.9	0.6559193730354309
aguanta	ague	ganta	0.93	0.95	1.88	0.7663470506668091
aguantan	agush	rantan	0.89	0.92	1.81	0.6554988622665405
aguanto	ague	lepanto	0.93	0.9	1.83	0.7321777939796448
agurin	aga	rin	0.9	1.0	1.9	0.6934940814971924
ahh	aha	shh	0.9	0.91	1.81	0.6660669445991516
ahhah	aha	hah	0.9	1.0	1.9	0.7410038709640503
ahkay	aha	okay	0.9	0.94	1.8399999999999999	0.8623490333557129
ahmir	ahu	amir	0.9	0.94	1.8399999999999999	0.6543735265731812
ahnna	aha	wanna	0.9	0.9	1.8	0.7159093022346497
aholes	aht	riles	0.9	0.9	1.8	0.6449683308601379
ahora	ahi	hora	0.9	0.94	1.8399999999999999	0.7652215957641602
ahy	aha	why	0.9	0.91	1.81	0.7792209386825562
aight	aid	fight	0.9	0.9	1.8	0.6492420434951782
aii	ain	oii	0.9	0.91	1.81	0.7181496620178223
aiight	aid	fight	0.9	0.9	1.8	0.6492420434951782
aiint	aim	int	0.9	1.0	1.9	0.7015993595123291
aiite	air	white	0.9	0.9	1.8	0.6593936681747437
ainda	air	honda	0.9	0.9	1.8	0.6902871131896973
airballed	airman	walled	0.87	0.92	1.79	0.7294572591781616
akeam	aka	dream	0.9	0.9	1.8	0.8079226613044739
akkin	ako	akin	0.9	0.94	1.8399999999999999	0.8372839689254761
akting	aka	ing	0.9	1.0	1.9	0.6379892826080322
akurat	aka	rat	0.9	1.0	1.9	0.6695239543914795
akward	aka	beard	0.9	0.9	1.8	0.679551899433136
aky	aka	sky	0.9	0.91	1.81	0.6811555027961731
alakija	alada	rakija	0.89	0.92	1.81	0.6737126111984253
alanta	ald	ganta	0.9	0.9	1.8	0.6746417284011841
alcance	alcade	hance	0.87	0.95	1.8199999999999998	0.6407074332237244
alcapone	alces	repone	0.89	0.92	1.81	0.6930992007255554
alchie	ald	hie	0.9	1.0	1.9	0.7738119959831238
aldous	ald	rous	0.9	0.94	1.8399999999999999	0.7076917886734009
alejandra	alen	mandra	0.93	0.92	1.85	0.6860367059707642
alemania	aleck	bania	0.89	0.95	1.8399999999999999	0.6442523002624512
alenjandra	alen	mandra	0.93	0.92	1.85	0.6860367059707642
alguaciles	algas	frailes	0.89	0.9	1.79	0.698414146900177
algun	all	gun	0.9	1.0	1.9	0.7068600654602051
alguna	ala	una	0.9	1.0	1.9	0.7019617557525635
algunas	algae	saunas	0.89	0.92	1.81	0.6416118144989014
ali	aln	cli	0.9	0.91	1.81	0.679970920085907
aliddo	ald	caddo	0.9	0.9	1.8	0.6344823837280273
aliice	all	ice	0.9	1.0	1.9	0.7198972702026367
alimentar	alicia	cantar	0.87	0.92	1.79	0.6340469121932983
